timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday
2021-01-01 10:20:37,Southeast Asia,Storage,576.0,671,13.34,97.81,0
2021-01-02 10:25:52,Southeast Asia,Compute,251.0,272,13.86,97.88,0
2021-01-03 15:09:45,Southeast Asia,Compute,347.0,396,21.54,98.3,1
2021-01-04 14:29:43,Southeast Asia,Storage,1464.0,1659,71.7,97.14,1
2021-01-05 20:09:01,Southeast Asia,Compute,476.0,558,75.61,98.48,1
2021-01-06 11:57:04,Southeast Asia,Compute,329.0,360,52.44,99.83,1
2021-01-07 15:40:12,Central India,Storage,1421.0,1610,18.68,99.63,0
2021-01-08 03:26:01,West Europe,Storage,1201.0,1313,47.29,98.54,1
2021-01-09 15:07:21,East US,Compute,494.0,508,62.79,99.41,0
2021-01-10 12:24:16,West Europe,Storage,985.0,1193,30.7,97.26,1
2021-01-11 14:47:15,Southeast Asia,Compute,92.0,131,13.91,97.28,1
2021-01-12 20:19:17,Southeast Asia,Compute,377.0,394,31.97,99.95,1
2021-01-13 00:37:24,East US,Compute,166.0,202,9.89,97.23,1
2021-01-14 14:06:03,Central India,Storage,1216.0,1353,41.35,99.69,1
2021-01-15 03:24:48,Central India,Compute,226.0,274,44.89,98.27,0
2021-01-16 00:38:35,Southeast Asia,Storage,916.0,1179,9.41,99.43,0
2021-01-17 14:03:05,East US,Storage,1609.0,1868,28.81,99.21,0
2021-01-18 11:24:11,Southeast Asia,Storage,507.0,580,6.31,98.39,1
2021-01-19 00:50:13,Central India,Storage,1575.0,1795,20.02,98.8,1
2021-01-20 04:40:27,East US,Compute,482.0,532,92.53,98.58,0
2021-01-21 01:41:24,Southeast Asia,Storage,541.0,773,21.88,99.95,0
2021-01-22 04:12:17,Central India,Storage,237.0,484,9.74,99.37,1
2021-01-23 19:08:50,Southeast Asia,Compute,206.0,236,25.7,97.91,1
2021-01-24 16:02:28,West Europe,Storage,598.0,833,29.72,97.86,1
2021-01-25 04:46:10,Central India,Compute,151.0,235,23.64,99.22,0
2021-01-26 00:25:33,Southeast Asia,Compute,144.0,170,13.96,98.47,1
2021-01-27 16:32:11,West Europe,Compute,120.0,137,16.44,98.91,0
2021-01-28 03:17:32,West Europe,Compute,85.0,120,16.51,99.19,1
2021-01-29 11:11:46,Southeast Asia,Storage,1649.0,1846,36.25,98.43,0
2021-01-30 06:41:22,Southeast Asia,Compute,195.0,255,15.91,99.3,0
2021-01-31 12:11:49,East US,Storage,906.0,1003,17.83,98.66,0
2021-02-01 00:11:50,Central India,Compute,271.0,334,44.89,97.77,0
2021-02-02 11:43:52,West Europe,Compute,362.0,433,63.15,97.07,1
2021-02-03 02:30:45,Central India,Storage,281.0,547,11.92,97.44,1
2021-02-04 08:25:56,Southeast Asia,Compute,387.0,482,31.83,97.24,1
2021-02-05 13:53:58,West Europe,Compute,93.0,104,10.72,99.32,0
2021-02-06 06:10:34,East US,Compute,318.0,355,33.58,97.93,0
2021-02-07 08:58:48,East US,Storage,1791.0,1888,18.35,99.2,0
2021-02-08 02:30:22,Southeast Asia,Storage,251.0,312,12.11,97.24,1
2021-02-09 03:46:13,East US,Compute,490.0,511,93.22,99.93,1
2021-02-10 18:49:51,Central India,Storage,1860.0,2088,25.71,99.66,1
2021-02-11 06:30:49,East US,Storage,1391.0,1475,32.75,97.13,1
2021-02-12 02:40:39,West Europe,Compute,316.0,355,17.04,99.28,0
2021-02-13 05:21:53,East US,Compute,213.0,278,29.64,99.0,0
2021-02-14 15:14:03,Central India,Storage,332.0,462,12.18,99.29,0
2021-02-15 03:49:44,West Europe,Storage,810.0,1013,29.3,98.58,1
2021-02-16 17:01:47,East US,Compute,56.0,139,8.16,99.43,1
2021-02-17 06:45:40,East US,Storage,1303.0,1464,60.74,97.76,0
2021-02-18 15:47:33,East US,Compute,310.0,396,28.59,99.57,1
2021-02-19 21:47:36,West Europe,Compute,127.0,177,8.87,97.73,0
2021-02-20 20:12:07,West Europe,Compute,196.0,259,30.35,99.1,0
2021-02-21 23:28:45,Southeast Asia,Compute,385.0,445,64.79,97.03,0
2021-02-22 06:12:54,Central India,Compute,255.0,310,43.46,97.4,1
2021-02-23 17:45:15,Southeast Asia,Storage,1717.0,1842,70.45,99.35,1
2021-02-24 08:46:52,West Europe,Storage,285.0,536,6.97,99.8,0
2021-02-25 19:46:15,East US,Storage,1826.0,2080,75.89,98.4,0
2021-02-26 05:20:57,East US,Storage,878.0,1049,13.98,98.13,1
2021-02-27 10:29:25,West Europe,Storage,843.0,1121,11.19,99.74,1
2021-02-28 22:30:32,West Europe,Storage,1004.0,1216,10.47,98.43,0
2021-03-01 02:41:49,West Europe,Compute,439.0,519,43.54,99.71,1
2021-03-02 01:04:23,East US,Storage,1660.0,1904,77.91,99.52,0
2021-03-03 07:45:24,West Europe,Compute,131.0,154,13.47,98.38,0
2021-03-04 15:56:59,Southeast Asia,Compute,418.0,502,58.12,99.75,0
2021-03-05 14:35:18,Central India,Storage,652.0,819,22.76,97.91,1
2021-03-06 22:08:45,West Europe,Storage,1450.0,1502,50.52,98.69,1
2021-03-07 05:20:49,East US,Compute,132.0,200,15.98,98.13,0
2021-03-08 22:19:21,Central India,Storage,846.0,964,38.92,98.09,0
2021-03-09 16:10:26,Central India,Storage,1558.0,1735,30.07,99.5,0
2021-03-10 05:37:04,East US,Storage,1093.0,1208,22.13,97.53,1
2021-03-11 01:12:49,East US,Compute,462.0,525,75.83,97.73,1
2021-03-12 15:06:34,Southeast Asia,Storage,1839.0,2021,84.09,97.98,0
2021-03-13 20:16:29,East US,Compute,337.0,413,36.56,99.72,1
2021-03-14 19:59:01,Southeast Asia,Compute,371.0,468,46.96,98.12,0
2021-03-15 19:56:47,East US,Compute,372.0,404,41.89,99.68,0
2021-03-16 03:06:00,Southeast Asia,Storage,1180.0,1372,36.08,98.79,0
2021-03-17 13:08:20,East US,Storage,1870.0,2167,44.93,98.64,0
2021-03-18 07:03:06,West Europe,Compute,373.0,420,31.25,97.42,0
2021-03-19 03:13:48,East US,Storage,1925.0,2077,66.72,98.8,1
2021-03-20 10:19:46,West Europe,Storage,1969.0,2067,32.69,98.36,0
2021-03-21 22:25:41,Southeast Asia,Storage,156.0,252,5.06,98.83,1
2021-03-22 08:09:29,Central India,Storage,1261.0,1342,51.99,97.32,0
2021-03-23 04:09:45,East US,Storage,793.0,1082,29.33,98.95,1
2021-03-24 13:35:02,Central India,Compute,222.0,308,34.32,98.76,1
2021-03-25 10:33:35,Southeast Asia,Compute,336.0,381,56.59,98.2,1
2021-03-26 04:54:09,Central India,Compute,429.0,487,76.52,97.8,1
2021-03-27 22:06:38,Central India,Storage,353.0,487,6.69,98.81,1
2021-03-28 07:33:51,West Europe,Storage,1472.0,1625,27.48,97.59,0
2021-03-29 09:40:07,Central India,Compute,159.0,176,18.57,97.73,1
2021-03-30 12:11:29,Central India,Storage,101.0,246,4.33,99.31,1
2021-03-31 04:05:16,East US,Storage,796.0,932,31.91,98.97,1
2021-04-01 03:30:08,Central India,Storage,1262.0,1535,57.61,99.94,1
2021-04-02 01:08:43,Southeast Asia,Storage,403.0,545,12.3,98.26,1
2021-04-03 10:31:54,West Europe,Compute,295.0,353,17.27,98.78,0
2021-04-04 20:09:21,West Europe,Compute,95.0,153,13.77,98.07,0
2021-04-05 20:21:32,West Europe,Compute,96.0,153,16.13,98.84,1
2021-04-06 04:38:43,East US,Compute,355.0,433,49.74,98.35,1
2021-04-07 06:50:59,West Europe,Storage,872.0,1168,18.6,97.01,0
2021-04-08 23:24:48,Southeast Asia,Storage,345.0,542,6.93,98.72,0
2021-04-09 07:27:45,West Europe,Compute,362.0,401,50.33,98.11,1
2021-04-10 21:20:47,East US,Compute,493.0,520,55.19,97.51,0
2021-04-11 02:21:25,Central India,Storage,1088.0,1265,49.3,99.07,0
2021-04-12 14:39:09,Central India,Storage,1693.0,1991,41.24,97.39,1
2021-04-13 06:47:33,Southeast Asia,Compute,307.0,327,21.84,98.93,0
2021-04-14 18:34:03,West Europe,Storage,1665.0,1790,34.64,97.32,0
2021-04-15 03:37:55,Southeast Asia,Storage,1472.0,1576,15.1,98.69,1
2021-04-16 11:13:11,Southeast Asia,Compute,465.0,534,27.59,97.49,0
2021-04-17 19:48:32,Central India,Compute,173.0,237,21.1,,0
2021-04-18 07:41:29,Central India,Storage,735.0,993,31.69,97.43,0
2021-04-19 14:32:51,Southeast Asia,Compute,55.0,128,9.34,99.52,1
2021-04-20 10:53:12,West Europe,Compute,190.0,246,16.86,97.48,1
2021-04-21 08:59:36,West Europe,Compute,245.0,333,36.54,98.14,1
2021-04-22 10:56:33,East US,Storage,478.0,592,6.34,99.14,0
2021-04-23 20:31:41,Central India,Compute,370.0,413,27.86,98.24,0
2021-04-24 02:00:48,West Europe,Storage,136.0,348,5.19,98.55,1
2021-04-25 16:46:17,Southeast Asia,Compute,428.0,491,70.48,98.46,0
2021-04-26 21:30:38,East US,Storage,1247.0,1338,52.25,98.01,0
2021-04-27 02:30:53,Southeast Asia,Storage,1802.0,2074,89.37,97.44,1
2021-04-28 11:42:57,Southeast Asia,Compute,483.0,577,32.69,99.11,0
2021-04-29 04:53:44,East US,Storage,1321.0,1492,41.13,98.36,1
2021-04-30 21:22:34,Central India,Compute,75.0,126,11.15,99.56,0
2021-05-01 13:10:35,Central India,Storage,492.0,733,17.43,98.17,0
2021-05-02 06:22:27,West Europe,Compute,166.0,211,23.48,97.4,0
2021-05-03 04:44:09,Central India,Storage,1963.0,2256,95.71,97.76,1
2021-05-04 20:32:23,East US,Storage,455.0,580,,99.83,0
2021-05-05 13:42:48,Central India,Storage,1505.0,1798,33.68,98.7,1
2021-05-06 17:56:26,Central India,Compute,375.0,428,64.69,98.45,1
2021-05-07 23:24:30,West Europe,Compute,192.0,250,30.7,97.2,0
2021-05-08 03:35:26,East US,Storage,1163.0,1267,40.26,99.15,0
2021-05-09 12:57:41,Central India,Compute,373.0,427,28.4,98.24,1
2021-05-10 21:42:57,Central India,Compute,188.0,209,30.67,99.85,1
2021-05-11 18:48:44,West Europe,Compute,71.0,114,10.13,99.21,1
2021-05-12 01:48:25,East US,Compute,62.0,108,6.64,97.39,0
2021-05-13 09:24:06,West Europe,Storage,505.0,686,25.07,99.59,1
2021-05-14 01:48:42,Central India,Compute,321.0,414,59.01,97.2,0
2021-05-15 09:32:13,Central India,Compute,167.0,257,17.04,98.86,1
2021-05-16 12:36:45,Southeast Asia,Compute,345.0,438,63.69,99.14,0
2021-05-17 16:48:19,Southeast Asia,Storage,681.0,955,23.17,98.24,0
2021-05-18 23:56:37,Central India,Storage,1461.0,1720,48.19,98.72,1
2021-05-19 12:08:20,West Europe,Compute,343.0,406,62.3,97.7,1
2021-05-20 23:07:18,East US,Compute,459.0,505,60.32,99.36,1
2021-05-21 11:09:37,Central India,Storage,1190.0,1324,30.27,98.75,0
2021-05-22 06:40:02,Southeast Asia,Compute,391.0,440,25.88,97.71,0
2021-05-23 04:20:50,East US,Compute,444.0,500,42.93,98.58,0
2021-05-24 01:29:20,East US,Storage,1449.0,1505,51.55,99.55,1
2021-05-25 17:57:53,Central India,Storage,1717.0,1977,46.37,98.0,0
2021-05-26 00:35:43,East US,Storage,516.0,793,10.49,99.47,0
2021-05-27 14:05:33,West Europe,Storage,560.0,729,6.02,99.83,0
2021-05-28 22:59:52,Southeast Asia,Storage,656.0,800,27.79,97.62,0
2021-05-29 00:51:13,Central India,Storage,1867.0,1933,76.53,97.91,1
2021-05-30 18:27:28,East US,Compute,444.0,470,73.71,97.38,1
2021-05-31 12:37:19,Southeast Asia,Compute,101.0,147,18.06,98.48,0
2021-06-01 06:51:42,Central India,Storage,237.0,393,5.26,99.75,0
2021-06-02 03:20:13,East US,Storage,782.0,834,27.2,98.26,1
2021-06-03 19:10:37,Central India,Storage,997.0,1271,17.38,97.9,1
2021-06-04 16:23:17,Southeast Asia,Compute,202.0,260,36.45,98.15,1
2021-06-05 23:02:45,East US,Storage,466.0,578,13.4,99.4,0
2021-06-06 19:26:42,West Europe,Compute,243.0,286,40.35,98.89,1
2021-06-07 02:20:14,Southeast Asia,Storage,842.0,1132,22.85,97.1,1
2021-06-08 04:28:24,East US,Storage,1457.0,1651,71.93,99.7,0
2021-06-09 01:34:20,Central India,Storage,982.0,1175,27.11,98.16,0
2021-06-10 14:30:10,Central India,Storage,164.0,299,7.2,99.63,1
2021-06-11 22:22:56,Southeast Asia,Compute,389.0,438,48.75,98.49,0
2021-06-12 07:22:07,Southeast Asia,Compute,471.0,551,54.88,99.93,1
2021-06-13 17:09:59,Central India,Compute,397.0,439,43.1,97.8,0
2021-06-14 19:58:22,Southeast Asia,Storage,764.0,998,33.88,97.3,1
2021-06-15 10:57:10,East US,Storage,1505.0,1762,35.04,99.04,1
2021-06-16 10:15:15,West Europe,Compute,221.0,288,17.43,97.76,0
2021-06-17 02:22:50,West Europe,Storage,1787.0,1913,22.82,97.8,0
2021-06-18 07:28:33,Central India,Storage,1550.0,1842,19.48,98.67,0
2021-06-19 19:12:30,West Europe,Storage,1148.0,1360,46.11,99.67,1
2021-06-20 21:00:34,Southeast Asia,Storage,597.0,864,12.16,98.3,1
